dataid	knownlabel	readtype	predictedlabel	readcounts	ptype
T10	Rhinovirus	INDEL	Influenza	0	Single
T10	Sars_cov_2	INDEL	Influenza	0	Single
T10	Unrelated	INDEL	Influenza	0	Single
T10	Coronaviridae	MM	Influenza	0	Single
T10	Human	MM	Influenza	0	Single
T10	Influenza	MM	Influenza	21873	Single
T10	Metapneumovirus	MM	Influenza	0	Single
T10	Rhinovirus	MM	Influenza	0	Single
T10	Sars_cov_2	MM	Influenza	0	Single
T10	Unrelated	MM	Influenza	0	Single
T10	Coronaviridae	EQUAL	Metapneumovirus	0	Single
T10	Human	EQUAL	Metapneumovirus	0	Single
T10	Influenza	EQUAL	Metapneumovirus	0	Single
T10	Metapneumovirus	EQUAL	Metapneumovirus	78131	Single
T10	Rhinovirus	EQUAL	Metapneumovirus	0	Single
T10	Sars_cov_2	EQUAL	Metapneumovirus	0	Single
T10	Unrelated	EQUAL	Metapneumovirus	2	Single
T10	Coronaviridae	INDEL	Metapneumovirus	0	Single
T10	Human	INDEL	Metapneumovirus	0	Single
T10	Influenza	INDEL	Metapneumovirus	0	Single
T10	Metapneumovirus	INDEL	Metapneumovirus	22	Single
T10	Rhinovirus	INDEL	Metapneumovirus	0	Single
T10	Sars_cov_2	INDEL	Metapneumovirus	0	Single
T10	Unrelated	INDEL	Metapneumovirus	0	Single
T10	Coronaviridae	MM	Metapneumovirus	0	Single
T10	Human	MM	Metapneumovirus	0	Single
T10	Influenza	MM	Metapneumovirus	0	Single
T10	Metapneumovirus	MM	Metapneumovirus	22167	Single
T10	Rhinovirus	MM	Metapneumovirus	0	Single
T10	Sars_cov_2	MM	Metapneumovirus	0	Single
T10	Unrelated	MM	Metapneumovirus	1	Single
T10	Coronaviridae	EQUAL	pDiscarded	0	Single
T10	Human	EQUAL	pDiscarded	23	Single
T10	Influenza	EQUAL	pDiscarded	33	Single
T10	Metapneumovirus	EQUAL	pDiscarded	38	Single
T10	Rhinovirus	EQUAL	pDiscarded	1	Single
T10	Sars_cov_2	EQUAL	pDiscarded	10	Single
T10	Unrelated	EQUAL	pDiscarded	289	Single
T10	Coronaviridae	INDEL	pDiscarded	0	Single
T10	Human	INDEL	pDiscarded	0	Single
T10	Influenza	INDEL	pDiscarded	1	Single
T10	Metapneumovirus	INDEL	pDiscarded	0	Single
T10	Rhinovirus	INDEL	pDiscarded	0	Single
T10	Sars_cov_2	INDEL	pDiscarded	0	Single
T10	Unrelated	INDEL	pDiscarded	0	Single
T10	Coronaviridae	MM	pDiscarded	47	Single
T10	Human	MM	pDiscarded	6	Single
T10	Influenza	MM	pDiscarded	27	Single
T10	Metapneumovirus	MM	pDiscarded	140	Single
T10	Rhinovirus	MM	pDiscarded	75	Single
T10	Sars_cov_2	MM	pDiscarded	78	Single
T10	Unrelated	MM	pDiscarded	85	Single
T10	Coronaviridae	EQUAL	Rhinovirus	0	Single
T10	Human	EQUAL	Rhinovirus	4	Single
T10	Influenza	EQUAL	Rhinovirus	0	Single
T10	Metapneumovirus	EQUAL	Rhinovirus	0	Single
T10	Rhinovirus	EQUAL	Rhinovirus	78258	Single
T10	Sars_cov_2	EQUAL	Rhinovirus	2	Single
T10	Unrelated	EQUAL	Rhinovirus	55	Single
T10	Coronaviridae	INDEL	Rhinovirus	0	Single
T10	Human	INDEL	Rhinovirus	0	Single
T10	Influenza	INDEL	Rhinovirus	0	Single
T10	Metapneumovirus	INDEL	Rhinovirus	0	Single
T10	Rhinovirus	INDEL	Rhinovirus	25	Single
T10	Sars_cov_2	INDEL	Rhinovirus	0	Single
T10	Unrelated	INDEL	Rhinovirus	0	Single
T10	Coronaviridae	MM	Rhinovirus	0	Single
T10	Human	MM	Rhinovirus	0	Single
T10	Influenza	MM	Rhinovirus	0	Single
T10	Metapneumovirus	MM	Rhinovirus	0	Single
T10	Rhinovirus	MM	Rhinovirus	22148	Single
T10	Sars_cov_2	MM	Rhinovirus	2	Single
T10	Unrelated	MM	Rhinovirus	20	Single
T10	Coronaviridae	EQUAL	Sars_cov_2	0	Single
T10	Human	EQUAL	Sars_cov_2	0	Single
T10	Influenza	EQUAL	Sars_cov_2	0	Single
T10	Metapneumovirus	EQUAL	Sars_cov_2	0	Single
T10	Rhinovirus	EQUAL	Sars_cov_2	0	Single
T10	Sars_cov_2	EQUAL	Sars_cov_2	77839	Single
T10	Unrelated	EQUAL	Sars_cov_2	3	Single
T10	Coronaviridae	INDEL	Sars_cov_2	0	Single
T10	Human	INDEL	Sars_cov_2	0	Single
T10	Influenza	INDEL	Sars_cov_2	0	Single
T10	Metapneumovirus	INDEL	Sars_cov_2	0	Single
T10	Rhinovirus	INDEL	Sars_cov_2	0	Single
T10	Sars_cov_2	INDEL	Sars_cov_2	18	Single
T10	Unrelated	INDEL	Sars_cov_2	0	Single
T10	Coronaviridae	MM	Sars_cov_2	0	Single
T10	Human	MM	Sars_cov_2	0	Single
T10	Influenza	MM	Sars_cov_2	0	Single
T10	Metapneumovirus	MM	Sars_cov_2	0	Single
T10	Rhinovirus	MM	Sars_cov_2	0	Single
T10	Sars_cov_2	MM	Sars_cov_2	22207	Single
T10	Unrelated	MM	Sars_cov_2	0	Single
T10	Coronaviridae	EQUAL	Coronaviridae	79153	Double
