dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT10	Influenza	EQUAL	Coronaviridae	0	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Coronaviridae	0	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Coronaviridae	0	Coronaviridae
FPRT10	Unrelated	EQUAL	Coronaviridae	2	Coronaviridae
FPRT10	Influenza	INDEL	Coronaviridae	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Coronaviridae	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Coronaviridae	0	Coronaviridae
FPRT10	Unrelated	INDEL	Coronaviridae	0	Coronaviridae
FPRT10	Influenza	MM	Coronaviridae	0	Coronaviridae
FPRT10	Metapneumovirus	MM	Coronaviridae	0	Coronaviridae
FPRT10	Rhinovirus	MM	Coronaviridae	0	Coronaviridae
FPRT10	Sars_cov_2	MM	Coronaviridae	0	Coronaviridae
FPRT10	Unrelated	MM	Coronaviridae	0	Coronaviridae
FPRT10	Influenza	EQUAL	Discarded	368	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Discarded	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Discarded	4612	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Discarded	2	Coronaviridae
FPRT10	Unrelated	EQUAL	Discarded	11	Coronaviridae
FPRT10	Influenza	INDEL	Discarded	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Discarded	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Discarded	2	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Discarded	0	Coronaviridae
FPRT10	Unrelated	INDEL	Discarded	0	Coronaviridae
FPRT10	Influenza	MM	Discarded	104	Coronaviridae
FPRT10	Metapneumovirus	MM	Discarded	0	Coronaviridae
FPRT10	Rhinovirus	MM	Discarded	1320	Coronaviridae
FPRT10	Sars_cov_2	MM	Discarded	1	Coronaviridae
FPRT10	Unrelated	MM	Discarded	3	Coronaviridae
FPRT10	Influenza	EQUAL	Human	1	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Human	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Human	0	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Human	0	Coronaviridae
FPRT10	Unrelated	EQUAL	Human	2836	Coronaviridae
FPRT10	Influenza	INDEL	Human	0	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Human	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Human	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Human	0	Coronaviridae
FPRT10	Unrelated	INDEL	Human	0	Coronaviridae
FPRT10	Influenza	MM	Human	5	Coronaviridae
FPRT10	Metapneumovirus	MM	Human	6	Coronaviridae
FPRT10	Rhinovirus	MM	Human	98	Coronaviridae
FPRT10	Sars_cov_2	MM	Human	0	Coronaviridae
FPRT10	Unrelated	MM	Human	779	Coronaviridae
FPRT10	Influenza	EQUAL	Influenza	22769	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Influenza	0	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Influenza	0	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Influenza	0	Coronaviridae
FPRT10	Unrelated	EQUAL	Influenza	0	Coronaviridae
FPRT10	Influenza	INDEL	Influenza	5	Coronaviridae
FPRT10	Metapneumovirus	INDEL	Influenza	0	Coronaviridae
FPRT10	Rhinovirus	INDEL	Influenza	0	Coronaviridae
FPRT10	Sars_cov_2	INDEL	Influenza	0	Coronaviridae
FPRT10	Unrelated	INDEL	Influenza	0	Coronaviridae
FPRT10	Influenza	MM	Influenza	6484	Coronaviridae
FPRT10	Metapneumovirus	MM	Influenza	0	Coronaviridae
FPRT10	Rhinovirus	MM	Influenza	0	Coronaviridae
FPRT10	Sars_cov_2	MM	Influenza	0	Coronaviridae
FPRT10	Unrelated	MM	Influenza	0	Coronaviridae
FPRT10	Influenza	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT10	Metapneumovirus	EQUAL	Metapneumovirus	10752	Coronaviridae
FPRT10	Rhinovirus	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT10	Sars_cov_2	EQUAL	Metapneumovirus	0	Coronaviridae
FPRT10	Unrelated	EQUAL	Metapneumovirus	0	Coronaviridae
