filename class pp_0.95 reads prop_totalreads
SRR4427291 Influenza above 0 0
SRR4427291 Metapneumovirus above 0 0
SRR4427291 Rhinovirus above 2 3.44788e-4
SRR4427291 Human above 309678 53.3867
SRR4427291 Discarded above 270231 46.5863
SRR4427291 rc_discarded above 47 0.00810253
SRR4427292 SARS-CoV-2 above 0 0
SRR4427292 Coronaviridae above 3 4.84599e-4
SRR4427292 Influenza above 0 0
SRR4427292 Metapneumovirus above 0 0
SRR4427292 Rhinovirus above 3 4.84599e-4
SRR4427292 Human above 303633 49.0468
SRR4427292 Discarded above 315257 50.9245
SRR4427292 rc_discarded above 54 0.00872279
SRR4427293 SARS-CoV-2 above 0 0
SRR4427293 Coronaviridae above 2 2.41265e-4
SRR4427293 Influenza above 0 0
SRR4427293 Metapneumovirus above 0 0
SRR4427293 Rhinovirus above 6 7.23795e-4
SRR4427293 Human above 471523 56.881
SRR4427293 Discarded above 357206 43.0907
SRR4427293 rc_discarded above 49 0.00591099
SRR4427294 SARS-CoV-2 above 0 0
SRR4427294 Coronaviridae above 2 5.37802e-4
SRR4427294 Influenza above 0 0
SRR4427294 Metapneumovirus above 0 0
SRR4427294 Rhinovirus above 51 0.013714
SRR4427294 Human above 204151 54.8964
SRR4427294 Discarded above 167589 45.0649
SRR4427294 rc_discarded above 23 0.00618472
SRR4427295 SARS-CoV-2 above 0 0
SRR4427295 Coronaviridae above 0 0
SRR4427295 Influenza above 0 0
SRR4427295 Metapneumovirus above 0 0
SRR4427295 Rhinovirus above 70 0.0182602
SRR4427295 Human above 147620 38.5081
SRR4427295 Discarded above 235570 61.4507
SRR4427295 rc_discarded above 15 0.00391289
SRR4427296 SARS-CoV-2 above 0 0
SRR4427296 Coronaviridae above 0 0
SRR4427296 Influenza above 0 0
SRR4427296 Metapneumovirus above 0 0
SRR4427296 Rhinovirus above 39 0.00653289
SRR4427296 Human above 290275 48.624
SRR4427296 Discarded above 306367 51.3196
SRR4427296 rc_discarded above 99 0.0165835
SRR6411409 SARS-CoV-2 below 4 1.23109e-5
SRR6411409 Coronaviridae below 475 0.00146192
SRR6411409 Influenza below 2 6.15543e-6
SRR6411409 Metapneumovirus below 0 0
SRR6411409 Rhinovirus below 563 0.00173275
SRR6411409 Human below 32073502 98.7131
SRR6411409 Discarded below 406051 1.24971
SRR6411409 rc_discarded below 11028 0.0339411
DRR028492 SARS-CoV-2 below 0 0
DRR028492 Coronaviridae below 131 0.0038707
DRR028492 Influenza below 4 1.18189e-4
DRR028492 Metapneumovirus below 0 0
DRR028492 Rhinovirus below 176 0.00520033
DRR028492 Human below 3328067 98.3355
DRR028492 Discarded below 54235 1.6025
DRR028492 rc_discarded below 1788 0.0528306
SRR10303453 SARS-CoV-2 below 38 1.92161e-4
SRR10303453 Coronaviridae below 1593 0.0080556
SRR10303453 Influenza below 202 0.00102149
SRR10303453 Metapneumovirus below 8 4.0455e-5
SRR10303453 Rhinovirus below 4131 0.0208899
SRR10303453 Human below 17577552 88.8875
SRR10303453 Discarded below 2179858 11.0233
SRR10303453 rc_discarded below 11682 0.0590744
SRR4895842 SARS-CoV-2 below 0 0
SRR4895842 Coronaviridae below 5 0.00109448
SRR4895842 Influenza below 0 0
SRR4895842 Metapneumovirus below 0 0
SRR4895842 Rhinovirus below 7 0.00153228
SRR4895842 Human below 456462 99.9181
SRR4895842 Discarded below 205 0.0448739
SRR4895842 rc_discarded below 157 0.0343668
SRR5375307 SARS-CoV-2 below 0 0
SRR5375307 Coronaviridae below 136 0.00755836
SRR5375307 Influenza below 0 0
SRR5375307 Metapneumovirus below 0 0
SRR5375307 Rhinovirus below 6 3.33457e-4
SRR5375307 Human below 1784902 99.1981
SRR5375307 Discarded below 13601 0.755892
SRR5375307 rc_discarded below 686 0.0381253
SRR5515378 SARS-CoV-2 below 0 0
SRR5515378 Coronaviridae below 165 0.0020597
SRR5515378 Influenza below 51 6.36636e-4
SRR5515378 Metapneumovirus below 0 0
SRR5515378 Rhinovirus below 346 0.00431914
SRR5515378 Human below 8000311 99.8683
SRR5515378 Discarded below 6372 0.079542
SRR5515378 rc_discarded below 3615 0.0451262
SRR6116514 SARS-CoV-2 below 1 7.8067e-6
SRR6116514 Coronaviridae below 162 0.00126469
SRR6116514 Influenza below 38 2.96655e-4
SRR6116514 Metapneumovirus below 0 0
SRR6116514 Rhinovirus below 267 0.00208439
SRR6116514 Human below 12805324 99.9673
SRR6116514 Discarded below 0 0
SRR6116514 rc_discarded below 3717 0.0290175
SRR8927151 SARS-CoV-2 below 1 2.62267e-5
SRR8927151 Coronaviridae below 51 0.00133756
SRR8927151 Influenza below 0 0
SRR8927151 Metapneumovirus below 0 0
SRR8927151 Rhinovirus below 123 0.00322588
SRR8927151 Human below 3797833 99.6046
SRR8927151 Discarded below 13916 0.36497
SRR8927151 rc_discarded below 987 0.0258857
SRR8928257 SARS-CoV-2 below 0 0
SRR8928257 Coronaviridae below 37 0.00132836
SRR8928257 Influenza below 0 0
SRR8928257 Metapneumovirus below 0 0
SRR8928257 Rhinovirus below 48 0.00172328
SRR8928257 Human below 2647134 95.0364
SRR8928257 Discarded below 137311 4.92969
SRR8928257 rc_discarded below 859 0.0308395
SRR9274276 SARS-CoV-2 below 0 0
SRR9274276 Coronaviridae below 49 0.00454193
SRR9274276 Influenza below 0 0
SRR9274276 Metapneumovirus below 0 0
SRR9274276 Rhinovirus below 66 0.0061177
SRR9274276 Human below 1069493 99.134
SRR9274276 Discarded below 8526 0.790296
