run	id	pacific	bwa	kraken
SRR4427252	SRR4427252:SRR4427252.64645:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64793:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64793:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64829:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64829:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64830:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64830:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64857:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64857:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66188:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66188:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66189:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66189:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66192:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66192:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66202:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66202:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66254:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.66381:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66381:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66385:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.66385:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.67959:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.67959:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69360:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69360:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69363:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.69451:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69451:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69455:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69455:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69456:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69456:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69925:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.69925:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.70305:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.70306:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.70308:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.70311:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.70312:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.70315:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.72481:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72481:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72482:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72482:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72719:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.72830:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72830:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72831:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.72838:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.72838:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73278:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73278:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73279:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73279:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73332:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73332:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73627:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.73934:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.73934:rhinovirus	fa	sam	kraken
