run	classifier	class	nreads	rproportion	study
SRR4427254	kraken	Metapneumovirus	0	0	GALA
SRR4427254	kraken	Sars_cov_2	0	0	GALA
SRR4427255	pacific	Rhinovirus	4	8.896955461840959e-4	GALA
SRR4427255	pacific	Coronaviridae	2	4.4484777309204796e-4	GALA
SRR4427255	pacific	Influenza	0	0	GALA
SRR4427255	pacific	Metapneumovirus	0	0	GALA
SRR4427255	pacific	Sars_cov_2	0	0	GALA
SRR4427255	bwa	Rhinovirus	0	0	GALA
SRR4427255	bwa	Coronaviridae	0	0	GALA
SRR4427255	bwa	Influenza	0	0	GALA
SRR4427255	bwa	Metapneumovirus	0	0	GALA
SRR4427255	bwa	Sars_cov_2	0	0	GALA
SRR4427255	kraken	Rhinovirus	0	0	GALA
SRR4427255	kraken	Coronaviridae	0	0	GALA
SRR4427255	kraken	Influenza	0	0	GALA
SRR4427255	kraken	Metapneumovirus	0	0	GALA
SRR4427255	kraken	Sars_cov_2	0	0	GALA
SRR4427256	pacific	Coronaviridae	6	9.415915093554963e-4	GALA
SRR4427256	pacific	Rhinovirus	4	6.277276729036642e-4	GALA
SRR4427256	pacific	Influenza	0	0	GALA
SRR4427256	pacific	Metapneumovirus	0	0	GALA
SRR4427256	pacific	Sars_cov_2	0	0	GALA
SRR4427256	bwa	Coronaviridae	0	0	GALA
SRR4427256	bwa	Rhinovirus	0	0	GALA
SRR4427256	bwa	Influenza	0	0	GALA
SRR4427256	bwa	Metapneumovirus	0	0	GALA
SRR4427256	bwa	Sars_cov_2	0	0	GALA
SRR4427256	kraken	Coronaviridae	0	0	GALA
SRR4427256	kraken	Rhinovirus	0	0	GALA
SRR4427256	kraken	Influenza	0	0	GALA
SRR4427256	kraken	Metapneumovirus	0	0	GALA
SRR4427256	kraken	Sars_cov_2	0	0	GALA
SRR4427257	pacific	Rhinovirus	8	0.0010011538297888317	GALA
SRR4427257	pacific	Coronaviridae	6	7.508653723416237e-4	GALA
SRR4427257	pacific	Influenza	0	0	GALA
SRR4427257	pacific	Metapneumovirus	0	0	GALA
SRR4427257	pacific	Sars_cov_2	0	0	GALA
SRR4427257	bwa	Rhinovirus	0	0	GALA
SRR4427257	bwa	Coronaviridae	0	0	GALA
SRR4427257	bwa	Influenza	0	0	GALA
SRR4427257	bwa	Metapneumovirus	0	0	GALA
SRR4427257	bwa	Sars_cov_2	0	0	GALA
SRR4427257	kraken	Rhinovirus	0	0	GALA
SRR4427257	kraken	Coronaviridae	0	0	GALA
SRR4427257	kraken	Influenza	0	0	GALA
SRR4427257	kraken	Metapneumovirus	0	0	GALA
SRR4427257	kraken	Sars_cov_2	0	0	GALA
SRR4427258	pacific	Rhinovirus	8	0.0015210860554435866	GALA
SRR4427258	pacific	Coronaviridae	5	9.506787846522417e-4	GALA
SRR4427258	pacific	Influenza	0	0	GALA
SRR4427258	pacific	Metapneumovirus	0	0	GALA
SRR4427258	pacific	Sars_cov_2	0	0	GALA
SRR4427258	bwa	Rhinovirus	0	0	GALA
SRR4427258	bwa	Coronaviridae	0	0	GALA
SRR4427258	bwa	Influenza	0	0	GALA
SRR4427258	bwa	Metapneumovirus	0	0	GALA
SRR4427258	bwa	Sars_cov_2	0	0	GALA
SRR4427258	kraken	Rhinovirus	0	0	GALA
SRR4427258	kraken	Coronaviridae	0	0	GALA
SRR4427258	kraken	Influenza	0	0	GALA
SRR4427258	kraken	Metapneumovirus	0	0	GALA
SRR4427258	kraken	Sars_cov_2	0	0	GALA
SRR4427259	pacific	Rhinovirus	8	0.001291311892175457	GALA
SRR4427259	pacific	Coronaviridae	5	8.070699326096606e-4	GALA
SRR4427259	pacific	Influenza	0	0	GALA
SRR4427259	pacific	Metapneumovirus	0	0	GALA
SRR4427259	pacific	Sars_cov_2	0	0	GALA
SRR4427259	bwa	Rhinovirus	0	0	GALA
SRR4427259	bwa	Coronaviridae	0	0	GALA
SRR4427259	bwa	Influenza	0	0	GALA
SRR4427259	bwa	Metapneumovirus	0	0	GALA
SRR4427259	bwa	Sars_cov_2	0	0	GALA
SRR4427259	kraken	Rhinovirus	0	0	GALA
SRR4427259	kraken	Coronaviridae	1	1.6141398652193213e-4	GALA
SRR4427259	kraken	Influenza	0	0	GALA
SRR4427259	kraken	Metapneumovirus	0	0	GALA
SRR4427259	kraken	Sars_cov_2	0	0	GALA
SRR4427260	pacific	Rhinovirus	9	0.0016091284066589307	GALA
SRR4427260	pacific	Coronaviridae	5	8.939602259216284e-4	GALA
SRR4427260	pacific	Influenza	0	0	GALA
SRR4427260	pacific	Metapneumovirus	0	0	GALA
SRR4427260	pacific	Sars_cov_2	0	0	GALA
SRR4427260	bwa	Rhinovirus	0	0	GALA
SRR4427260	bwa	Coronaviridae	0	0	GALA
SRR4427260	bwa	Influenza	0	0	GALA
SRR4427260	bwa	Metapneumovirus	0	0	GALA
SRR4427260	bwa	Sars_cov_2	0	0	GALA
SRR4427260	kraken	Rhinovirus	0	0	GALA
SRR4427260	kraken	Coronaviridae	0	0	GALA
SRR4427260	kraken	Influenza	0	0	GALA
SRR4427260	kraken	Metapneumovirus	0	0	GALA
SRR4427260	kraken	Sars_cov_2	0	0	GALA
SRR4427261	pacific	Rhinovirus	87	0.0238921721554584	GALA
SRR4427261	pacific	Coronaviridae	3	8.238680053606345e-4	GALA
SRR4427261	pacific	Influenza	0	0	GALA
SRR4427261	pacific	Metapneumovirus	0	0	GALA
SRR4427261	pacific	Sars_cov_2	0	0	GALA
SRR4427261	bwa	Rhinovirus	101	0.027736889513808025	GALA
SRR4427261	bwa	Coronaviridae	0	0	GALA
SRR4427261	bwa	Influenza	0	0	GALA
SRR4427261	bwa	Metapneumovirus	0	0	GALA
SRR4427261	bwa	Sars_cov_2	0	0	GALA
SRR4427261	kraken	Rhinovirus	82	0.022519058813190676	GALA
SRR4427261	kraken	Coronaviridae	0	0	GALA
SRR4427261	kraken	Influenza	0	0	GALA
SRR4427261	kraken	Metapneumovirus	0	0	GALA
SRR4427261	kraken	Sars_cov_2	0	0	GALA
SRR4427262	pacific	Metapneumovirus	32	0.008700404296912172	GALA
SRR4427262	pacific	Rhinovirus	2	5.437752685570108e-4	GALA
SRR4427262	pacific	Coronaviridae	1	2.718876342785054e-4	GALA
SRR4427262	pacific	Influenza	0	0	GALA
SRR4427262	pacific	Sars_cov_2	0	0	GALA
SRR4427262	bwa	Metapneumovirus	46	0.012506831176811247	GALA
SRR4427262	bwa	Rhinovirus	0	0	GALA
SRR4427262	bwa	Coronaviridae	0	0	GALA
SRR4427262	bwa	Influenza	0	0	GALA
SRR4427262	bwa	Sars_cov_2	0	0	GALA
SRR4427262	kraken	Metapneumovirus	41	0.011147393005418721	GALA
SRR4427262	kraken	Rhinovirus	0	0	GALA
SRR4427262	kraken	Coronaviridae	0	0	GALA
SRR4427262	kraken	Influenza	0	0	GALA
SRR4427262	kraken	Sars_cov_2	0	0	GALA
SRR4427263	pacific	Rhinovirus	5	0.0010472169163231796	GALA
SRR4427263	pacific	Coronaviridae	3	6.283301497939077e-4	GALA
SRR4427263	pacific	Influenza	0	0	GALA
SRR4427263	pacific	Metapneumovirus	0	0	GALA
SRR4427263	pacific	Sars_cov_2	0	0	GALA
SRR4427263	bwa	Rhinovirus	0	0	GALA
SRR4427263	bwa	Coronaviridae	0	0	GALA
SRR4427263	bwa	Influenza	0	0	GALA
SRR4427263	bwa	Metapneumovirus	0	0	GALA
SRR4427263	bwa	Sars_cov_2	0	0	GALA
SRR4427263	kraken	Rhinovirus	0	0	GALA
SRR4427263	kraken	Coronaviridae	0	0	GALA
SRR4427263	kraken	Influenza	0	0	GALA
SRR4427263	kraken	Metapneumovirus	0	0	GALA
